id,Name,titleProject_id,class,score
0,Сербин Геннадий Михаилович,7,8в,2
1,Папандина Клавдия Яковлевна,304,9в,5
2,Белагина Галина Андреевна,396,9а,4
3,Кижняева Анна Леонидовна,178,7и,2
4,Цывин Олег Яковлевич,446,7т,2
5,Жидняева Ксения Эдуардовна,373,7х,4
6,Липковский Анатолий Иванович,144,10а,2
7,Меднова Наталья Богдановна,290,7и,5
8,Житихин Вячеслав Романович,141,9а,5
9,Шеврина Полина Максимовна,33,11а,5
10,Алпеев Валентин Данилович,323,8а,2
11,Золикова Клара Игоревна,364,10х,2
12,Дориков Дмитрий Петрович,296,10г,5
13,Корабышев Кирилл Михаилович,302,8и,5
14,Ростовиков Константин Николаевич,336,10а,2
15,Нехаев Дмитрий Фёдорович,129,7х,4
16,Зызлова Мария Николаевна,430,8г,3
17,Королупов Валерий Тимофеевич,397,10д,5
18,Стенцов Евгений Яковлевич,315,8и,4
19,Феклисов Константин Виталиевич,270,9т,None
20,Синелев Руслан Тимофеевич,300,8и,2
21,Опевалова Вера Евгеньевна,473,9д,5
22,Назерова Вероника Василевна,206,7б,5
23,Дименская Светлана Дмитриевна,387,9д,5
24,Ковторева Раиса Василевна,482,9и,2
25,Кулишнин Вячеслав Яковлевич,386,11х,5
26,Лексин Кирилл Антонович,139,7в,5
27,Лаковский Григорий Василиевич,240,7д,5
28,Барамыкова Александра Алексеевна,106,10а,3
29,Плясулина Оксана Андреевна,346,8х,2
30,Петрикеев Станислав Яковлевич,14,7и,4
31,Моторыгин Илья Георгиевич,238,10и,5
32,Рыков Тарас Павлович,174,10и,5
33,Иончикова Елизавета Егоровна,169,8д,5
34,Смолькина Алиса Егоровна,441,7г,5
35,Оболенин Герасим Павлович,472,7и,4
36,Трощинский Георгий Борисович,67,9д,3
37,Поддубская Лиза Игоревна,496,10а,4
38,Телькова Валерия Олеговна,335,7х,4
39,Чигварина Александра Алексеевна,428,10б,2
40,Киреевский Артур Игоревич,119,7в,3
41,Шумейкин Роман Павлович,420,8в,5
42,Трушинов Максим Алексиевич,82,8и,4
43,Голюков Денис Сергеевич,62,11б,4
44,Хлиманкова Надежда Валерьевна,461,10б,3
45,Кулаженков Алексей Олегович,367,10в,2
46,Бутукин Владимир Адамович,221,7х,5
47,Поддуев Леонид Олегович,149,9х,4
48,Ревцев Василий Павлович,360,9х,5
49,Старокожев Артём Юрьевич,46,8д,3
50,Светошев Максим Михаилович,321,10х,2
51,Старынина Кристина Федоровна,266,9д,3
52,Востров Дмитрий Денисович,282,9г,3
53,Бураханова Анастасия Леонидовна,16,8г,2
54,Понизов Виктор Кириллович,214,11и,5
55,Суздалев Валерий Алексеевич,66,11т,5
56,Колендин Дмитрий Алексеевич,153,10в,4
57,Сулькова Екатерина Андреевна,325,8и,4
58,Аржевитова Надежда Федоровна,242,10в,2
59,Крассов Валерий Олегович,201,8х,5
60,Сонураева Инна Андреевна,450,9т,3
61,Пашин Роман Вадимович,204,10д,2
62,Фичкина Евгения Федоровна,29,11д,3
63,Свилин Олег Виталиевич,123,8в,2
64,Рогоцкий Андрей Адамович,142,9в,2
65,Ахантьев Игорь Валериевич,80,10д,5
66,Сочиникова Ксения Кирилловна,100,10д,2
67,Остюков Артур Романович,329,11и,3
68,Брюкина Оксана Викторовна,98,8в,5
69,Кузовенков Игорь Юрьевич,322,9г,None
70,Калухов Тарас Иванович,207,11а,3
71,Батыров Пётр Виталиевич,227,7и,3
72,Озрина Катерина Валерьевна,147,10а,4
73,Декалова Полина Леонидовна,470,11д,5
74,Лосицкий Владимир Кириллович,369,9т,5
75,Магнусов Пётр Максимович,437,7и,5
76,Лавренков Михаил Василиевич,188,9б,2
77,Шушкалова Вероника Алексеевна,411,8т,5
78,Бороданова Маргарита Дмитриевна,118,7г,5
79,Циркина Виолетта Федоровна,231,9г,2
80,Болохина Екатерина Андреевна,194,11д,3
81,Чукалова Дарья Валерьевна,20,10г,4
82,Беловолов Степан Петрович,222,9д,2
83,Зудейкина Вероника Ивановна,166,8и,3
84,Макунова Мария Борисовна,47,9в,5
85,Верзанский Геннадий Андреевич,497,7д,5
86,Алтубин Ярослав Леонидович,414,10г,5
87,Аузин Игорь Алексиевич,435,8х,5
88,Калыгин Степан Тимофеевич,353,8и,2
89,Дурныгина Полина Игоревна,72,8и,2
90,Антюфеева Александра Вадимовна,347,8и,2
91,Лощинский Борис Романович,210,10б,3
92,Ходорков Евгений Виталиевич,344,9г,5
93,Кафорин Федор Данилович,427,10д,3
94,Косынская Алиса Дмитриевна,40,9в,3
95,Беремцев Артём Антонович,434,11т,2
96,Влянская Мария Андреевна,490,7т,4
97,Мыгеева Лиза Василевна,280,8в,5
98,Акутникова Мария Алексеевна,173,11в,2
99,Карябкин Константин Максимович,89,7и,2
100,Прилепина Яна Максимовна,30,10в,5
101,Ведищев Никита Георгиевич,365,7и,5
102,Самчева Вероника Борисовна,287,10г,3
