id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,wp84bZcK
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,cHxX2zxK
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,ETg2aKQo
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,aYhR7O3u
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,F7YmMUwW
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,x08p1Yeq
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,hnxUF6GG
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,0LYAGUvg
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,7B9ILyLi
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,tgiQYv5S
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,dpMp0tEe
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,mNhfRF1d
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,jCqBjO7e
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,MB1psYxz
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,naxQDI3V
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,Wsl0y3gW
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,rpb1qdAT
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,hbuiNBw2
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,k6UfrYSX
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,g4om5NaO
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,aAN3U0aA
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,B2ZxmveJ
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,PVP9u17k
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,Lrl8aKjo
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,x84vQBOs
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,61TKNny9
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,wkr3Ktxe
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,c649yc8U
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,kBttRD2M
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,vtV4SHJC
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,On6d1bD9
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,4RSU38Ap
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,D1IbGcj2
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,A8oD2CUe
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,6HDale7x
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,aBMRV2GV
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,3bFKlwUx
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,DxC0BdKZ
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,YMTkBY4Q
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,T4bCixcA
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,hB7fVLkx
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,7wbgQXHf
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,LJpdg8ox
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,eaLPKS9T
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,mnlr9fBF
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,9Ab7kmLf
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,77GWTtAI
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,5qJJrMZI
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,R40TW4Hk
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,OP4jeL6N
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,M6RNv9px
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,pCdlnJ37
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,wTfcJAy0
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,j52Bm8nG
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,rG96tF7E
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,iA00wcNy
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,lT8Qo7aR
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,y74DeRtO
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,q7LxT3NC
