id,Name,titleProject_id,class,score
789355148,Сербин Геннадий Михаилович,7,8в,2
780100198,Папандина Клавдия Яковлевна,304,9в,5
645499270,Белагина Галина Андреевна,396,9а,4
442410772,Кижняева Анна Леонидовна,178,7и,2
430168432,Цывин Олег Яковлевич,446,7т,2
754435051,Жидняева Ксения Эдуардовна,373,7х,4
202923868,Липковский Анатолий Иванович,144,10а,2
156980238,Меднова Наталья Богдановна,290,7и,5
921759432,Житихин Вячеслав Романович,141,9а,5
873902806,Шеврина Полина Максимовна,33,11а,5
92921793,Алпеев Валентин Данилович,323,8а,2
325248991,Золикова Клара Игоревна,364,10х,2
910590832,Дориков Дмитрий Петрович,296,10г,5
28073124,Корабышев Кирилл Михаилович,302,8и,5
123658838,Ростовиков Константин Николаевич,336,10а,2
944556994,Нехаев Дмитрий Фёдорович,129,7х,4
23128409,Зызлова Мария Николаевна,430,8г,3
95577563,Королупов Валерий Тимофеевич,397,10д,5
347554886,Стенцов Евгений Яковлевич,315,8и,4
200132180,Феклисов Константин Виталиевич,270,9т,None
487901145,Синелев Руслан Тимофеевич,300,8и,2
326396072,Опевалова Вера Евгеньевна,473,9д,5
548636533,Назерова Вероника Василевна,206,7б,5
662131804,Дименская Светлана Дмитриевна,387,9д,5
356264504,Ковторева Раиса Василевна,482,9и,2
239693786,Кулишнин Вячеслав Яковлевич,386,11х,5
773353201,Лексин Кирилл Антонович,139,7в,5
224364305,Лаковский Григорий Василиевич,240,7д,5
89272827,Барамыкова Александра Алексеевна,106,10а,3
887916433,Плясулина Оксана Андреевна,346,8х,2
50738485,Петрикеев Станислав Яковлевич,14,7и,4
365966424,Моторыгин Илья Георгиевич,238,10и,5
355717922,Рыков Тарас Павлович,174,10и,5
378965547,Иончикова Елизавета Егоровна,169,8д,5
409101011,Смолькина Алиса Егоровна,441,7г,5
446108305,Оболенин Герасим Павлович,472,7и,4
819060236,Трощинский Георгий Борисович,67,9д,3
378790645,Поддубская Лиза Игоревна,496,10а,4
111446818,Телькова Валерия Олеговна,335,7х,4
337802777,Чигварина Александра Алексеевна,428,10б,2
795261410,Киреевский Артур Игоревич,119,7в,3
9268973,Шумейкин Роман Павлович,420,8в,5
537908751,Трушинов Максим Алексиевич,82,8и,4
245367346,Голюков Денис Сергеевич,62,11б,4
187296882,Хлиманкова Надежда Валерьевна,461,10б,3
908552416,Кулаженков Алексей Олегович,367,10в,2
774454640,Бутукин Владимир Адамович,221,7х,5
829104422,Поддуев Леонид Олегович,149,9х,4
429997489,Ревцев Василий Павлович,360,9х,5
126438361,Старокожев Артём Юрьевич,46,8д,3
405865856,Светошев Максим Михаилович,321,10х,2
90010155,Старынина Кристина Федоровна,266,9д,3
511436307,Востров Дмитрий Денисович,282,9г,3
922627469,Бураханова Анастасия Леонидовна,16,8г,2
118814933,Понизов Виктор Кириллович,214,11и,5
18460401,Суздалев Валерий Алексеевич,66,11т,5
112605178,Колендин Дмитрий Алексеевич,153,10в,4
745171403,Сулькова Екатерина Андреевна,325,8и,4
916564772,Аржевитова Надежда Федоровна,242,10в,2
149416656,Крассов Валерий Олегович,201,8х,5
579793182,Сонураева Инна Андреевна,450,9т,3
393972603,Пашин Роман Вадимович,204,10д,2
384572893,Фичкина Евгения Федоровна,29,11д,3
457597067,Свилин Олег Виталиевич,123,8в,2
67958873,Рогоцкий Андрей Адамович,142,9в,2
252884342,Ахантьев Игорь Валериевич,80,10д,5
319412550,Сочиникова Ксения Кирилловна,100,10д,2
529057176,Остюков Артур Романович,329,11и,3
339641324,Брюкина Оксана Викторовна,98,8в,5
99554211,Кузовенков Игорь Юрьевич,322,9г,None
185766827,Калухов Тарас Иванович,207,11а,3
333736364,Батыров Пётр Виталиевич,227,7и,3
442348907,Озрина Катерина Валерьевна,147,10а,4
541805216,Декалова Полина Леонидовна,470,11д,5
34828433,Лосицкий Владимир Кириллович,369,9т,5
204103602,Магнусов Пётр Максимович,437,7и,5
30843334,Лавренков Михаил Василиевич,188,9б,2
963193951,Шушкалова Вероника Алексеевна,411,8т,5
96308178,Бороданова Маргарита Дмитриевна,118,7г,5
353514151,Циркина Виолетта Федоровна,231,9г,2
362448384,Болохина Екатерина Андреевна,194,11д,3
305269662,Чукалова Дарья Валерьевна,20,10г,4
402817625,Беловолов Степан Петрович,222,9д,2
534022715,Зудейкина Вероника Ивановна,166,8и,3
401055900,Макунова Мария Борисовна,47,9в,5
307837417,Верзанский Геннадий Андреевич,497,7д,5
499268074,Алтубин Ярослав Леонидович,414,10г,5
66426477,Аузин Игорь Алексиевич,435,8х,5
23437244,Калыгин Степан Тимофеевич,353,8и,2
757657167,Дурныгина Полина Игоревна,72,8и,2
148625646,Антюфеева Александра Вадимовна,347,8и,2
703172308,Лощинский Борис Романович,210,10б,3
276113213,Ходорков Евгений Виталиевич,344,9г,5
567237755,Кафорин Федор Данилович,427,10д,3
316673730,Косынская Алиса Дмитриевна,40,9в,3
25450432,Беремцев Артём Антонович,434,11т,2
419078272,Влянская Мария Андреевна,490,7т,4
686965069,Мыгеева Лиза Василевна,280,8в,5
204880246,Акутникова Мария Алексеевна,173,11в,2
776627792,Карябкин Константин Максимович,89,7и,2
794283117,Прилепина Яна Максимовна,30,10в,5
244298711,Ведищев Никита Георгиевич,365,7и,5
391999726,Самчева Вероника Борисовна,287,10г,3
459438551,Пирцхалова Карина Леонидовна,452,10г,5
59947779,Павлочев Денис Борисович,432,11д,5
601210358,Арашкова Екатерина Евгеньевна,356,8х,None
764401979,Байсарова Людмила Василевна,215,11и,2
925502152,Кудекина Зинаида Игоревна,250,10и,3
649071717,Дерналов Виталий Викторович,1,9г,4
479397255,Сазинова Галина Романовна,61,9и,3
894194570,Остаченова Марина Эдуардовна,229,9т,5
396086618,Битюкова Яна Егоровна,488,9и,4
411257482,Иваницкий Константин Борисович,232,8д,5
892679959,Белянский Владислав Игоревич,74,11б,5
373546595,Баранкин Артём Алексеевич,382,9т,2
998074511,Шкабанова Софья Вадимовна,499,9х,4
737265561,Полозлов Денис Адамович,155,8т,3
73743456,Жунина Светлана Михайловна,162,8в,3
578555787,Пантыкин Борис Игоревич,245,9х,2
539090866,Доутова Марина Богдановна,189,11х,2
413674497,Трещалова Яна Андреевна,330,8б,3
687673051,Ивашечкин Александр Данилович,390,10т,4
57564234,Мазьянова Инна Богдановна,416,11в,4
86338595,Корогев Николай Евгеньевич,184,8б,5
757161034,Заидова Галина Максимовна,88,9т,4
570994701,Рамхин Кирилл Алексиевич,459,9х,4
207824081,Кизбабаев Эдуард Фёдорович,415,11т,2
616478506,Соурчаков Ярослав Валериевич,268,8б,2
93143014,Мотяшева Алена Михайловна,404,7т,2
176327617,Горшкова Наталия Яковлевна,340,11а,2
115745415,Зябрицкий Игорь Виталиевич,332,7а,5
620091234,Шельдяев Игорь Юриевич,97,7д,5
663898926,Шмелькин Максим Викторович,483,9т,5
360109180,Жалкин Алексей Алексеевич,43,7а,3
72292452,Худасов Денис Максимович,70,10д,2
443595854,Швичкова Наталья Эдуардовна,398,7г,4
142119294,Едская Жанна Валерьевна,436,11в,4
477022163,Поморзина Полина Евгеньевна,122,7д,4
836502744,Будачева Кира Олеговна,55,11х,4
962530362,Молкаев Василий Валериевич,216,8д,2
534017719,Яцынин Константин Тимофеевич,285,7г,2
285763219,Маховиков Василий Петрович,391,7х,4
276212642,Шаметова Евгения Вадимовна,463,7а,2
664406438,Законнова Жанна Евгеньевна,442,11и,None
567867890,Перчихин Аркадий Тимофеевич,164,10т,3
945629796,Бурдасова Ксения Игоревна,203,9а,3
57777861,Киссин Степан Иванович,251,7х,5
304965627,Вапилина Мария Егоровна,77,7д,2
793808638,Сигутина Дарья Федоровна,458,7б,2
529987660,Сошьяков Альберт Фёдорович,17,7т,4
447050073,Лугахина Клара Вадимовна,419,8в,4
591435996,Логецкий Анатолий Виталиевич,372,11б,4
768829083,Ковайкова Юлия Егоровна,75,10г,2
166386560,Вермутский Валерий Петрович,447,9и,5
423979304,Россомахов Олег Юриевич,56,8в,2
393627492,Циплакова Екатерина Егоровна,471,9б,5
860454458,Квятцева Алла Никитична,138,11в,2
122013147,Выхухолева Лариса Василевна,384,8б,5
37157441,Целохов Андрей Вадимович,433,8и,5
664749224,Бендин Иван Яковлевич,71,8и,4
309404984,Лазученков Василий Алексеевич,381,7х,2
459500391,Скоропухов Михаил Василиевич,69,10и,3
909543916,Мухонкин Тарас Романович,126,9и,4
588264716,Камерцев Владимир Кириллович,303,7а,3
347809678,Сандрыкина Анна Олеговна,324,10т,2
583231771,Недбайлов Алексей Денисович,15,7т,2
89813880,Серпков Ярослав Георгиевич,380,10б,4
569281621,Хатшуклов Аркадий Николаевич,42,11т,4
362151479,Литвалиева Алиса Егоровна,10,11и,3
961508710,Енесина Лиза Валерьевна,293,9б,5
488894030,Пикальков Эдуард Алексиевич,21,8д,5
446950471,Сачинский Валентин Кириллович,125,10т,2
889720523,Тарзанова Евгения Аркадьевна,96,9д,2
504420897,Лапундин Юрий Игоревич,267,8и,5
150009915,Личева Лиза Михайловна,453,9б,3
458124471,Смароверов Яков Борисович,131,11в,4
921501445,Вереина Алла Василевна,295,10и,3
925303470,Погиблева Дарья Леонидовна,283,9в,5
235814814,Байнова Анастасия Вадимовна,363,7б,3
932911008,Шиловский Вячеслав Максимович,438,9и,4
896466549,Сыждиков Пётр Василиевич,494,11х,5
996128090,Каценова Алёна Эдуардовна,165,11т,2
915461474,Мужицких Ева Олеговна,348,8х,3
215305795,Плеснецов Степан Юрьевич,22,10а,2
227978229,Игумнова Алёна Сергеевна,114,9д,4
886627275,Хадаров Владимир Валериевич,278,11т,5
716510536,Ступакова Кира Ивановна,421,8и,3
254753859,Шоленинов Федор Максимович,286,11т,4
694254255,Гундаров Руслан Николаевич,158,9д,4
164578076,Гречишева Марина Андреевна,464,7д,2
161961319,Утилова Алена Андреевна,253,11д,3
565854204,Роткичева Алиса Максимовна,410,10а,4
873259076,Колтышева Марина Вадимовна,87,11г,4
333725312,Гурычева Лариса Валерьевна,489,9б,2
35786909,Горцева Кристина Никитична,246,8и,4
551331913,Кутурин Геннадий Денисович,197,9в,2
219201002,Стефанков Яков Евгеньевич,318,10г,3
245122011,Множина Людмила Василевна,90,8б,2
808498709,Семисалов Георгий Иванович,316,9в,3
561153210,Рогалов Альберт Валериевич,327,9б,2
579134005,Черетаева Анастасия Олеговна,341,9б,2
409073093,Радоминова Любовь Игоревна,25,9и,5
152967894,Шувырина Лиза Андреевна,395,9а,5
966476396,Калиженков Семён Алексеевич,401,11а,4
611449358,Старокашин Константин Петрович,309,10а,3
446966230,Малтоцов Аркадий Яковлевич,218,8а,3
43770538,Кузеванова Ева Егоровна,116,7д,2
112268645,Нурулина Алёна Егоровна,284,9х,2
313407304,Лератов Герасим Сергеевич,374,10а,4
211321955,Людин Руслан Аркадиевич,498,7и,3
816587420,Пурин Виктор Данилович,154,8и,5
658879677,Лютов Виктор Юрьевич,288,11г,2
58922357,Марюшкина Яна Федоровна,345,10д,5
419489057,Томилова Кристина Михайловна,492,11б,3
859220235,Дистерев Валерий Валериевич,24,7г,3
311034047,Дочкин Геннадий Алексиевич,52,11и,5
301669570,Иняхин Руслан Сергеевич,234,7и,5
450120747,Знайкова Раиса Егоровна,148,11х,3
602142056,Кашавцев Аркадий Леонидович,58,7а,4
55736923,Пятернина Кристина Андреевна,445,7и,2
719523432,Гусеева Карина Викторовна,263,9и,2
260221963,Кастева Яна Сергеевна,108,7и,2
55403755,Гришанин Тарас Павлович,113,10т,2
236117265,Грамоткин Илья Викторович,195,8д,5
572832109,Мелисин Геннадий Василиевич,465,10г,2
733238182,Цинина Светлана Яковлевна,105,11г,5
249395871,Петов Георгий Адамович,57,9а,2
169748373,Реева Валентина Максимовна,146,11и,5
391867006,Слесивых Мария Аркадьевна,35,7и,5
780729150,Афтаева Полина Ивановна,193,10д,5
566720286,Кривицкий Валентин Виталиевич,208,8х,5
581603562,Чубатов Константин Леонидович,279,11а,4
958559567,Партенков Геннадий Павлович,418,8х,3
674870990,Черушев Григорий Борисович,84,7г,4
211017042,Тютекин Георгий Тимофеевич,262,7а,2
66515508,Янкевский Вячеслав Адамович,167,11г,4
856327123,Сухручкина Клавдия Аркадьевна,177,7в,4
796433398,Конофалова Клара Петровна,95,11д,5
881017907,Лигасов Михаил Павлович,491,11г,4
450179389,Писарьков Альберт Игоревич,313,8в,4
654287329,Варов Кирилл Иванович,28,8а,5
788906771,Пурынов Евгений Петрович,244,9и,3
102711852,Супрутская Вероника Викторовна,187,9а,2
729601583,Скроцкая Алина Федоровна,127,8г,3
131771169,Барадулин Вадим Юрьевич,281,11х,3
424381401,Точилин Дмитрий Фёдорович,476,8а,2
981207335,Бикмуллин Руслан Валериевич,333,11т,2
561931228,Серпичев Василий Алексиевич,394,10х,5
998584808,Вострышев Яков Аркадиевич,343,8г,5
68792802,Грушчева София Евгеньевна,480,11в,None
243196037,Кулапов Александр Юрьевич,109,9б,5
639701062,Чибисенков Владислав Фёдорович,375,8х,3
697444441,Утилов Роман Василиевич,254,9х,2
334491076,Татаурова Галина Федоровна,145,10т,4
326527242,Визавитина Наталия Леонидовна,101,10г,2
660523139,Мягченков Артём Денисович,115,7б,4
121750997,Брикова Инна Богдановна,256,9б,4
619801015,Наторкин Валентин Данилович,319,7и,2
